PROCESO,JOB_TYPE,PRODUTO,PROCESS_ID,JOB_NAME,QTD_OK,HORA_INICIO,HORA_FIM,DURATION_IN_SEC,POLICY_PER_SEC
JOB,Start Payment Loader,,562916,Start Payment Loader,0,12/30/2022 0:00,12/30/2022 0:27,1651,0
JOB,Collector Invoicing,,431873,Billing Payment Card Scotiabank,38,3/10/2022 16:01,3/10/2022 16:24,1395,0.03
JOB,Accounting Entry By Period,,416872,DAA1A Accounting,864,2/1/2022 22:55,2/1/2022 22:56,20,43.2
JOB,Accounting Entry By Period,,425861,362 - Cobranza - SinFecha,28,2/22/2022 22:16,2/22/2022 22:16,21,1.33
JOB,Accounting Entry By Period,,478877,DAA1A Accounting,648,6/22/2022 12:08,6/22/2022 12:10,117,5.54
JOB,Accounting Entry By Period,,531918,362 - Cobranza - SinFecha,14,10/25/2022 11:21,10/25/2022 11:21,24,0.58
JOB,Accounting Entry By Period,,519925,DAA1A Accounting,1728,9/28/2022 11:39,9/28/2022 11:40,57,30.32
JOB,Collector Invoicing,,495865,Billing Payment Card Scotiabank,1,8/1/2022 12:30,8/1/2022 13:00,1780,0
JOB,Accounting Entry By Period,,464852,DAA1A Accounting,1158,5/24/2022 12:03,5/24/2022 12:04,78,14.85
JOB,Screening Adam,,524913,Sreening ADAM,4121564,10/11/2022 6:00,10/11/2022 7:50,6610,623.53
JOB,Accounting Entry By Period,,460971,362 - Emisión - SinFecha,647,5/18/2022 17:04,5/18/2022 17:06,117,5.53
JOB,Accounting Entry By Period,,508887,362 - Cobranza - SinFecha,8,8/25/2022 0:03,8/25/2022 0:04,64,0.12
JOB,Accounting Entry By Period,,531917,362 - Cobranza - SinFecha,162,10/25/2022 9:54,10/25/2022 9:54,23,7.04
JOB,Accounting Entry By Period,,461878,DAA1A Accounting,6048,5/20/2022 12:15,5/20/2022 12:17,125,48.38
JOB,Accounting Entry By Period,,451887,362 - Cobranza - SinFecha,150,4/25/2022 23:52,4/25/2022 23:52,16,9.38
JOB,Accounting Entry By Period,,460911,362 - Emisión - SinFecha,16,5/17/2022 16:05,5/17/2022 16:07,81,0.2
JOB,Accounting Entry By Period,,455873,362 - Cobranza - SinFecha,40,5/5/2022 11:22,5/5/2022 11:23,27,1.48
JOB,Accounting Entry By Period,,440886,362 - Cobranza - SinFecha,28,3/28/2022 16:47,3/28/2022 16:47,19,1.47
JOB,Start Payment Loader,,537932,Start Payment Loader,0,11/4/2022 0:00,11/4/2022 0:07,473,0
JOB,Accounting Entry By Period,,553958,362 - Cobranza - SinFecha,8,12/5/2022 9:16,12/5/2022 9:16,26,0.31
JOB,Screening Adam,,547001,Sreening ADAM,5012731,11/24/2022 6:00,11/24/2022 6:14,883,5676.93
JOB,Accounting Entry By Period,,553951,362 - Cobranza - SinFecha,8,12/5/2022 8:16,12/5/2022 8:17,34,0.24
JOB,Accounting Entry By Period,,523102,362 - Emisión - SinFecha,69071,10/5/2022 15:54,10/5/2022 15:59,309,223.53
JOB,Accounting Entry By Period,,417860,DAA1A Accounting,0,2/4/2022 12:28,2/4/2022 12:28,13,0
JOB,Screening Adam,,454860,Sreening ADAM,7069729,5/3/2022 6:00,5/4/2022 2:56,75401,93.76
JOB,Accounting Entry By Period,,448867,362 - Cobranza - SinFecha,8,4/18/2022 17:03,4/18/2022 17:03,21,0.38
JOB,Accounting Entry By Period,,546977,DAA1A Accounting,70,11/23/2022 21:26,11/23/2022 21:29,180,0.39
JOB,Start Payment Loader,,511937,Start Payment Loader,0,9/2/2022 0:00,9/2/2022 0:09,569,0
JOB,Accounting Entry By Period,,482861,DAA1A Accounting,1164,7/4/2022 20:59,7/4/2022 21:01,98,11.88
JOB,Accounting Entry By Period,,502861,362 - Emisión - SinFecha,5573,8/10/2022 12:38,8/10/2022 12:40,111,50.21
JOB,Collector Invoicing,,426895,Billing Bank Account Scotiabank,1,3/2/2022 10:04,3/2/2022 10:15,626,0
JOB,Accounting Entry By Period,,458905,DAA1A Accounting,6144,5/12/2022 15:55,5/12/2022 15:57,122,50.36
JOB,Accounting Entry By Period,,513926,DAA1A Accounting,139536,9/7/2022 11:28,9/7/2022 11:36,500,279.07
JOB,Accounting Entry By Period,,457859,DAA1A Accounting,60816,5/9/2022 18:27,5/9/2022 18:31,189,321.78
JOB,Accounting Entry By Period,,422861,362 - Emisión - SinFecha,20,2/17/2022 17:21,2/17/2022 17:22,96,0.21
JOB,Collector Invoicing,,416869,Billing Payment Card Scotiabank,222,2/1/2022 11:27,2/1/2022 12:36,4102,0.05
JOB,Accounting Entry By Period,,505952,DAA1A Accounting,3776,8/19/2022 8:53,8/19/2022 8:54,102,37.02
JOB,Accounting Entry By Period,,438871,362 - Cobranza - SinFecha,264,3/25/2022 7:57,3/25/2022 7:57,40,6.6
JOB,Accounting Entry By Period,,528057,DAA1A Accounting,16262,10/19/2022 19:24,10/19/2022 19:27,190,85.59
JOB,Standard Output Payment,,474977,Output table New,54971,6/12/2022 17:09,6/12/2022 17:10,78,704.76
JOB,Accounting Entry By Period,,419857,DAA1A Accounting,2322,2/11/2022 9:46,2/11/2022 9:46,23,100.96
JOB,Accounting Entry By Period,,542963,362 - Emisión Reaseguro Cedido Scotiabank- SinFecha,0,11/15/2022 16:35,11/15/2022 16:35,16,0
JOB,Accounting Entry By Period,,451869,362 - Emisión - SinFecha,115,4/25/2022 9:06,4/25/2022 9:08,77,1.49
JOB,Collector Invoicing,ScotiabankSalud,511903,Billing Payment Card Scotiabank,17,8/31/2022 10:11,8/31/2022 10:14,220,0.08
JOB,Accounting Entry By Period,,519906,DAA1A Accounting,9528,9/26/2022 11:33,9/26/2022 11:35,102,93.41
JOB,Collector Invoicing,,411915,Billing Payment Card Scotiabank,1,1/12/2022 11:08,1/12/2022 11:15,383,0
JOB,Accounting Entry By Period,,501869,DAA1A Accounting,0,8/8/2022 17:27,8/8/2022 17:28,65,0
JOB,Accounting Entry By Period,,457882,362 - Cobranza - SinFecha,1540,5/11/2022 13:24,5/11/2022 13:25,23,66.96
JOB,Screening Adam,,518901,Sreening ADAM,4982807,9/24/2022 6:00,9/24/2022 9:13,11580,430.29
JOB,Accounting Entry By Period,,472855,DAA1A Accounting,1200,6/8/2022 8:58,6/8/2022 9:00,130,9.23
JOB,Standard Output Payment,,530902,Output table New,17801,10/21/2022 2:00,10/21/2022 2:00,47,378.74
JOB,Accounting Entry By Period,,434855,362 - Emisión - SinFecha,549,3/17/2022 9:47,3/17/2022 9:49,104,5.28
JOB,Screening Adam,,472867,Sreening ADAM,7015915,6/9/2022 6:00,6/9/2022 9:06,11170,628.1
JOB,Standard Output Payment,,505962,Output table Manual por periodo,1,8/19/2022 11:51,8/19/2022 11:51,7,0.14
JOB,Standard Output Payment,,482864,Output table New,9225,7/5/2022 2:00,7/5/2022 2:01,69,133.7
JOB,Accounting Entry By Period,,501886,DAA1A Accounting,0,8/9/2022 11:28,8/9/2022 11:29,84,0
JOB,Accounting Entry By Period,,432851,362 - Emisión - SinFecha,1620,3/11/2022 12:37,3/11/2022 12:38,103,15.73
JOB,Accounting Entry By Period,,426866,DAA1A Accounting,1458,3/1/2022 9:09,3/1/2022 9:10,64,22.78
JOB,Accounting Entry By Period,,499864,362 - Emisión - SinFecha,0,8/4/2022 14:16,8/4/2022 14:18,125,0
JOB,Accounting Entry By Period,,421851,DAA1A Accounting,139104,2/14/2022 21:02,2/14/2022 21:10,478,291.01
JOB,Collector Invoicing,ScotiabankSalud,538903,Billing Payment Card Scotiabank,103,11/7/2022 12:05,11/7/2022 12:17,751,0.14
JOB,Accounting Entry By Period,,537923,362 - Devolución - SinFecha,192,11/3/2022 12:59,11/3/2022 13:00,23,8.35
JOB,Accounting Entry By Period,,476870,362 - Cobranza - SinFecha,12,6/15/2022 9:58,6/15/2022 9:59,50,0.24
JOB,Accounting Entry By Period,,430863,DAA1A Accounting,67170,3/8/2022 9:03,3/8/2022 9:05,116,579.05
JOB,Collector Invoicing,,457886,Billing Payment Card Scotiabank,1,5/11/2022 17:35,5/11/2022 17:57,1332,0
JOB,Accounting Entry By Period,,476959,DAA1A Accounting,6440,6/17/2022 10:52,6/17/2022 10:54,132,48.79
JOB,Accounting Entry By Period,,471851,DAA1A Accounting,11961,6/7/2022 8:31,6/7/2022 8:33,154,77.67
JOB,Start Payment Loader,,522204,Start Payment Loader,0,10/7/2022 0:00,10/7/2022 0:04,243,0
JOB,Accounting Entry By Period,,496851,DAA1A Accounting,1728,8/2/2022 8:02,8/2/2022 8:03,91,18.99
JOB,Accounting Entry By Period,,479864,362 - Cobranza - SinFecha,266,6/23/2022 13:43,6/23/2022 13:44,21,12.67
JOB,Collector Invoicing,,445897,Billing Payment Card Scotiabank,1,4/7/2022 9:51,4/7/2022 10:18,1611,0
JOB,Accounting Entry By Period,,453864,362 - Cobranza - SinFecha,13,4/29/2022 12:04,4/29/2022 12:05,42,0.31
JOB,Close Policy for Maturity,CoppelSaleVale,419859,CoppelSaleVale - Cierre por madurez,160,2/11/2022 9:52,2/11/2022 9:53,56,2.86
JOB,Accounting Entry By Period,,519901,362 - Cobranza - SinFecha,854,9/26/2022 9:10,9/26/2022 9:11,41,20.83
JOB,Accounting Entry By Period,,412869,DAA1A Accounting,71832,1/17/2022 9:10,1/17/2022 9:12,111,647.14
JOB,Collector Invoicing,,436865,Billing Payment Card Scotiabank,1,3/22/2022 11:31,3/22/2022 12:00,1719,0
JOB,Accounting Entry By Period,,487856,DAA1A Accounting,1440,7/18/2022 10:38,7/18/2022 10:40,85,16.94
JOB,Accounting Entry By Period,,440869,362 - Cobranza - SinFecha,84,3/28/2022 13:32,3/28/2022 13:33,19,4.42
JOB,Accounting Entry By Period,,531919,362 - Cobranza - SinFecha,14,10/25/2022 11:25,10/25/2022 11:25,26,0.54
JOB,Accounting Entry By Period,,552992,362 - Cobranza - SinFecha,0,12/4/2022 21:14,12/4/2022 21:15,34,0
JOB,Accounting Entry By Period,,541907,362 - Cobranza - SinFecha,266,11/14/2022 15:53,11/14/2022 15:53,20,13.3
JOB,Accounting Entry By Period,,513916,DAA1A Accounting,0,9/6/2022 14:32,9/6/2022 14:33,55,0
JOB,Collector Invoicing,,502859,Billing Payment Card Scotiabank,1,8/10/2022 12:17,8/10/2022 12:57,2421,0
JOB,Accounting Entry By Period,,469854,DAA1A Accounting,3272,6/2/2022 9:13,6/2/2022 9:15,147,22.26
JOB,Accounting Entry By Period,,482900,362 - Emisión - SinFecha,8,7/7/2022 10:14,7/7/2022 10:16,121,0.07
JOB,Accounting Entry By Period,,417853,362 - Emisión - SinFecha,12,2/4/2022 11:13,2/4/2022 11:14,91,0.13
JOB,Collector Invoicing,ScotiabankSalud,538924,Billing Payment Card Scotiabank,25,11/8/2022 12:11,11/8/2022 12:14,165,0.15
JOB,Accounting Entry By Period,,446853,362 - Emisión - SinFecha,6,4/7/2022 12:24,4/7/2022 12:26,74,0.08
JOB,Accounting Entry By Period,,530957,362 - Emisión Reaseguro Cedido Scotiabank- SinFecha,380,10/23/2022 11:08,10/23/2022 11:08,22,17.27
JOB,Accounting Entry By Period,,482854,DAA1A Accounting,432,7/4/2022 12:18,7/4/2022 12:19,80,5.4
JOB,Accounting Entry By Period,,503949,362 - Cobranza - SinFecha,854,8/16/2022 9:25,8/16/2022 9:26,35,24.4
JOB,Accounting Entry By Period,,419869,362 - Emisión Reaseguro Cedido Scotiabank- SinFecha,360,2/11/2022 11:47,2/11/2022 11:47,10,36
JOB,Accounting Entry By Period,,561927,362 - Cobranza - SinFecha,14,12/27/2022 21:24,12/27/2022 21:24,33,0.42
JOB,Accounting Entry By Period,,485900,DAA1A Accounting,1512,7/15/2022 9:52,7/15/2022 9:55,130,11.63
JOB,Accounting Entry By Period,,552968,362 - Cobranza - SinFecha,8,12/4/2022 15:41,12/4/2022 15:42,36,0.22
JOB,Accounting Entry By Period,,425885,362 - Emisión - SinFecha,0,2/23/2022 15:47,2/23/2022 15:49,88,0
JOB,Accounting Entry By Period,,532921,362 - Cobranza - SinFecha,0,10/27/2022 11:21,10/27/2022 11:21,48,0
JOB,Collector Invoicing,,447855,Billing Payment Card Scotiabank,35,4/12/2022 11:46,4/12/2022 12:11,1530,0.02
JOB,Standard Output Payment,,474935,Output table New,38253,6/11/2022 22:44,6/11/2022 22:51,369,103.67
JOB,Accounting Entry By Period,,451865,362 - Emisión Reaseguro Cedido Scotiabank- SinFecha,36,4/22/2022 21:47,4/22/2022 21:47,13,2.77
JOB,Accounting Entry By Period,,561948,362 - Cobranza - SinFecha,100,12/28/2022 14:18,12/28/2022 14:18,26,3.85
JOB,Collector Invoicing,,411909,Billing Payment Card Scotiabank,2,1/11/2022 20:00,1/11/2022 20:05,329,0.01
JOB,Collector Invoicing,,503858,Billing Bank Account Scotiabank,1,8/11/2022 12:40,8/11/2022 13:00,1210,0
JOB,Accounting Entry By Period,,425900,362 - Cobranza - SinFecha,12,2/25/2022 12:09,2/25/2022 12:09,18,0.67
JOB,Accounting Entry By Period,,440894,362 - Cobranza - SinFecha,12,3/28/2022 17:46,3/28/2022 17:46,22,0.55
JOB,Accounting Entry By Period,,524917,DAA1A Accounting,5466,10/11/2022 10:18,10/11/2022 10:19,61,89.61
JOB,Collector Invoicing,ScotiabankSalud,561945,Billing Bank Account Scotiabank,1965,12/28/2022 9:29,12/28/2022 9:33,255,7.71
JOB,Accounting Entry By Period,,497856,DAA1A Accounting,2223,8/3/2022 9:29,8/3/2022 9:31,150,14.82
JOB,Collector Invoicing,,433869,Billing Payment Card Scotiabank,2,3/16/2022 11:08,3/16/2022 11:23,940,0
JOB,Accounting Entry By Period,,469856,DAA1A Accounting,5040,6/2/2022 9:37,6/2/2022 9:40,158,31.9
JOB,Accounting Entry By Period,,552987,362 - Cobranza - SinFecha,0,12/4/2022 19:49,12/4/2022 19:50,42,0
JOB,Accounting Entry By Period,,531909,DAA1A Accounting,6102,10/24/2022 16:26,10/24/2022 16:28,130,46.94
JOB,Accounting Entry By Period,,514903,DAA1A Accounting,6120,9/9/2022 11:40,9/9/2022 11:42,119,51.43
JOB,Accounting Entry By Period,,528005,362 - Emisión - SinFecha,4,10/18/2022 13:23,10/18/2022 13:24,45,0.09
JOB,Accounting Entry By Period,,522013,DAA1A Accounting,38532,10/4/2022 12:58,10/4/2022 13:01,196,196.59
JOB,Screening Adam,,551919,Sreening ADAM,4139187,12/1/2022 6:00,12/1/2022 23:48,64075,64.6
JOB,Accounting Entry By Period,,499855,DAA1A Accounting,357993,8/4/2022 10:32,8/4/2022 10:51,1122,319.07
JOB,Accounting Entry By Period,,440853,DAA1A Accounting,0,3/28/2022 9:25,3/28/2022 9:25,11,0
JOB,Accounting Entry By Period,,448862,DAA1A Accounting,1458,4/18/2022 12:48,4/18/2022 12:49,78,18.69
JOB,Accounting Entry By Period,,453871,DAA1A Accounting,2016,4/29/2022 13:40,4/29/2022 13:42,91,22.15
JOB,Accounting Entry By Period,,503905,DAA1A Accounting,51858,8/12/2022 10:43,8/12/2022 10:47,221,234.65
JOB,Collector Invoicing,ScotiabankSalud,561916,Billing Bank Account Scotiabank,1,12/27/2022 11:44,12/27/2022 11:46,79,0.01
JOB,Collector Invoicing,ScotiabankSalud,505859,Billing Bank Account Scotiabank,2008,8/16/2022 13:14,8/16/2022 13:21,380,5.28
JOB,Collector Invoicing,,476863,Billing Payment Card Scotiabank,15,6/14/2022 17:27,6/14/2022 18:27,3583,0
JOB,Accounting Entry By Period,,472864,362 - Emisión - SinFecha,1008,6/8/2022 16:43,6/8/2022 16:45,126,8
JOB,Accounting Entry By Period,,427874,362 - Emisión - SinFecha,18,3/2/2022 21:14,3/2/2022 21:16,100,0.18
JOB,Accounting Entry By Period,,508888,362 - Cobranza - SinFecha,0,8/25/2022 0:24,8/25/2022 0:25,55,0
JOB,Accounting Entry By Period,,537914,362 - Cobranza - SinFecha,14,11/3/2022 10:15,11/3/2022 10:15,18,0.78
JOB,Accounting Entry By Period,,431863,362 - Cobranza - SinFecha,1936,3/10/2022 11:38,3/10/2022 11:39,42,46.1
JOB,Accounting Entry By Period,,508901,DAA1A Accounting,53496,8/25/2022 15:40,8/25/2022 15:43,188,284.55
JOB,Accounting Entry By Period,,412861,362 - Emisión - SinFecha,30,1/14/2022 18:12,1/14/2022 18:14,83,0.36
JOB,Accounting Entry By Period,,466860,362 - Cobranza - SinFecha,266,5/30/2022 17:44,5/30/2022 17:45,22,12.09
JOB,Standard Output Payment,,516917,Output table New,0,9/19/2022 2:00,9/19/2022 2:00,6,0
JOB,Accounting Entry By Period,,532923,362 - Devolución - SinFecha,352,10/27/2022 14:59,10/27/2022 14:59,32,11
JOB,Accounting Entry By Period,,559921,362 - Cobranza - SinFecha,10,12/22/2022 11:57,12/22/2022 11:57,26,0.38
JOB,Accounting Entry By Period,,520909,362 - Cobranza - SinFecha,0,9/29/2022 15:13,9/29/2022 15:14,57,0
JOB,Accounting Entry By Period,,533952,362 - Cobranza - SinFecha,110,10/28/2022 12:44,10/28/2022 12:45,23,4.78
JOB,Accounting Entry By Period,,553959,362 - Cobranza - SinFecha,8,12/5/2022 9:20,12/5/2022 9:20,25,0.32
JOB,Accounting Entry By Period,,488901,DAA1A Accounting,5976,7/21/2022 23:30,7/21/2022 23:33,145,41.21
JOB,Accounting Entry By Period,,417864,DAA1A Accounting,216,2/4/2022 13:04,2/4/2022 13:04,16,13.5
JOB,Accounting Entry By Period,,503926,DAA1A Accounting,4248,8/15/2022 10:37,8/15/2022 10:38,65,65.35
JOB,Collector Invoicing,,496868,Billing Payment Card Scotiabank,1,8/2/2022 19:33,8/2/2022 20:06,1944,0
JOB,Accounting Entry By Period,,458854,362 - Cobranza - SinFecha,4,5/12/2022 8:15,5/12/2022 8:15,20,0.2
JOB,Accounting Entry By Period,,449861,362 - Emisión Reaseguro Cedido Scotiabank- SinFecha,0,4/19/2022 14:28,4/19/2022 14:28,12,0
JOB,Accounting Entry By Period,,460852,362 - Cobranza - SinFecha,8,5/16/2022 13:02,5/16/2022 13:02,15,0.53
JOB,Accounting Entry By Period,,418879,DAA1A Accounting,2058,2/10/2022 9:50,2/10/2022 9:54,259,7.95
JOB,Accounting Entry By Period,,521910,362 - Emisión - SinFecha,6,10/3/2022 10:03,10/3/2022 10:04,76,0.08
JOB,Start Payment Loader,,493883,Start Payment Loader,0,7/29/2022 0:00,7/29/2022 0:14,862,0
JOB,Accounting Entry By Period,,419854,362 - Emisión - SinFecha,4,2/11/2022 9:03,2/11/2022 9:11,463,0.01
JOB,Accounting Entry By Period,,453858,DAA1A Accounting,2583,4/29/2022 10:49,4/29/2022 10:51,92,28.08
JOB,Accounting Entry By Period,,445854,362 - Emisión - SinFecha,12,4/5/2022 15:34,4/5/2022 15:35,74,0.16
JOB,Accounting Entry By Period,,491902,362 - Cobranza - SinFecha,938,7/25/2022 13:36,7/25/2022 13:37,27,34.74
JOB,Accounting Entry By Period,,440862,DAA1A Accounting,0,3/28/2022 12:40,3/28/2022 12:40,10,0
JOB,Accounting Entry By Period,,431855,362 - Emisión - SinFecha,0,3/9/2022 16:53,3/9/2022 16:54,68,0
JOB,Accounting Entry By Period,,478870,362 - Cobranza - SinFecha,1164,6/22/2022 9:38,6/22/2022 9:39,25,46.56
JOB,Accounting Entry By Period,,452891,DAA1A Accounting,0,4/28/2022 16:00,4/28/2022 16:01,85,0
JOB,Accounting Entry By Period,,426879,DAA1A Accounting,3240,3/1/2022 11:55,3/1/2022 11:55,11,294.55
JOB,Standard Output Payment,,557949,Output table New,7141,12/20/2022 23:00,12/20/2022 23:01,79,90.39
JOB,Collector Invoicing,,446935,Billing Payment Card Scotiabank,4,4/11/2022 12:42,4/11/2022 13:04,1296,0
JOB,Collector Invoicing,ScotiabankSalud,561918,Billing Bank Account Scotiabank,0,12/27/2022 12:51,12/27/2022 12:52,49,0
JOB,Accounting Entry By Period,,451875,DAA1A Accounting,12576,4/25/2022 11:11,4/25/2022 11:13,103,122.1
JOB,Screening Adam,,410909,Sreening ADAM,4883889,1/6/2022 18:30,1/6/2022 19:16,2760,1769.53
JOB,Accounting Entry By Period,,482870,DAA1A Accounting,2976,7/5/2022 10:55,7/5/2022 10:57,96,31
JOB,Accounting Entry By Period,,463854,362 - Emisión - SinFecha,8,5/24/2022 10:09,5/24/2022 10:11,77,0.1
JOB,Accounting Entry By Period,,508877,362 - Cobranza - SinFecha,60,8/24/2022 17:40,8/24/2022 17:41,59,1.02
JOB,Standard Output Payment,,432856,Output table,5965,3/11/2022 16:41,3/11/2022 16:42,63,94.68
JOB,Accounting Entry By Period,,520901,DAA1A Accounting,5842,9/29/2022 9:06,9/29/2022 9:07,75,77.89
JOB,Accounting Entry By Period,,530910,DAA1A Accounting,0,10/21/2022 16:18,10/21/2022 16:20,92,0
JOB,Standard Output Payment,,517909,Output table New,326564,9/22/2022 2:00,9/22/2022 2:11,684,477.43
JOB,Accounting Entry By Period,,473859,DAA1A Accounting,6,6/10/2022 15:29,6/10/2022 15:31,129,0.05
JOB,Accounting Entry By Period,,553977,362 - Cobranza - SinFecha,8,12/5/2022 12:50,12/5/2022 12:50,27,0.3
JOB,Collector Invoicing,,473857,Billing Bank Account Scotiabank,8809,6/10/2022 13:39,6/10/2022 14:19,2375,3.71
JOB,Collector Invoicing,ScotiabankSalud,524928,Billing Payment Card Scotiabank,33,10/12/2022 9:47,10/12/2022 9:47,17,1.94
JOB,Accounting Entry By Period,,516934,DAA1A Accounting,48084,9/20/2022 9:10,9/20/2022 9:13,231,208.16
JOB,Accounting Entry By Period,,542966,362 - Cobranza - SinFecha,16,11/15/2022 19:23,11/15/2022 19:23,34,0.47
JOB,Collector Invoicing,,441859,Billing Bank Account Scotiabank,2890,3/29/2022 11:11,3/29/2022 11:30,1109,2.61
JOB,Close Policy for Maturity,CoppelSaleValeClientesFinales1,527902,CoppelSaleValeClientesFinales - Cierre por madurez,105728,10/15/2022 16:42,10/15/2022 17:03,1246,84.85
